name,category_tag
Data Types,types
Box Functions,boxFunctions
Line Functions,lineFunctions
Matd Functions,mat2dFunctions
NearestPointResult Functions,nearestPointResultFunctions
PointIntersectionResult Functions,pointIntersectionResultFunctions
Polygon Functions,polygonFunctions
Polyline Functions,polylineFunctions
Ray Functions,rayFunctions
Segment Functions,segmentFunctions
Vec Functions,vecFunctions
Constants,const
